,mean_abs_shap
education_num,0.48329505
log_capital_gain,0.44644243
hours_per_week,0.40301344
is_married,0.34724808
occ_exec_managerial,0.15286355
occ_other_service,0.15181641
log_capital_loss,0.14916192
occ_prof_specialty,0.07173665
is_government_employee,0.06036585
occ_adm_clerical,0.050833505
occ_handlers_cleaners,0.04937153
is_self_employed,0.04167987
occ_craft_repair,0.031929936
occ_machine_op_inspct,0.028848557
is_us,0.024768732
occ_sales,0.02343995
occ_tech_support,0.010780711
occ_transport_moving,0.0076262997
