sensitive_def,strategy,auc,dpd,meets_threshold
S1_age_group,baseline,0.7593067811678655,0.5669907974069541,False
S1_age_group,reweigh,0.7296642245546061,0.3411555374223673,False
S1_age_group,threshold,0.7593067811678655,2.7199782401732264e-05,True
S2_age_exp_pro,baseline,0.7593067811678655,0.9770592386855154,False
S2_age_exp_pro,reweigh,0.6514302175820422,0.39125,False
S2_age_exp_pro,threshold,0.7593067811678655,0.017713545389563934,True
S3_age_exp_total,baseline,0.7593067811678655,0.986580783682233,False
S3_age_exp_total,reweigh,0.6681139258136275,0.49228428297204924,False
S3_age_exp_total,threshold,0.7593067811678655,0.013342318059299196,True
